id,text,persian,verse,surah,surahName,section,part,prostration,cut_off_letters,page
"32","وَبَشِّرِ الَّذِینَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِی مِن تَحْتِهَا الْأَنْهَارُ کُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا قَالُوا هَذَا الَّذِی رُزِقْنَا مِن قَبْلُ وَأُتُوا بِهِ مُتَشَابِهًا وَلَهُمْ فِیهَا أَزْوَاجٌ مُّطَهَّرَةٌ وَهُمْ فِیهَا خَالِدُون","و کسانی‌ ‌را‌ ‌که‌ ایمان‌ آورده‌ و کارهای‌ شایسته‌ کرده‌اند نوید ده‌ ‌که‌ برایشان‌ باغ‌هایی‌ ‌است‌ ‌که‌ ‌از‌ پای‌ درختانش‌ نهرها جاری‌ ‌است‌، ‌هر‌ بار ‌که‌ میوه‌ای‌ ‌از‌ ‌آن‌ روزیشان‌ گردد، گویند: ‌این‌ همان‌ ‌است‌ ‌که‌ قبلا روزیمان‌ ‌شده‌ و ‌برای‌ آنان‌ همانند ‌آن‌ آورده‌ شود و ‌آن‌ جا ‌آنها‌ ‌را‌ همسران‌ پاکیزه‌ای‌ ‌است‌ و ‌در‌ ‌آن‌ جاودانند","25","2","البقرة","1","1","","","5"
"33","إِنَّ اللَّهَ لَا یَسْتَحْیِی أَن یَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا فَأَمَّا الَّذِینَ آمَنُوا فَیَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ وَأَمَّا الَّذِینَ کَفَرُوا فَیَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَذَا مَثَلًا یُضِلُّ بِهِ کَثِیرًا وَیَهْدِی بِهِ کَثِیرًا وَمَا یُضِلُّ بِهِ إِلَّا الْفَاسِقِین","به‌ راستی‌ ‌خدا‌ ابایی‌ ندارد ‌از‌ ‌این‌ ‌که‌ ‌به‌ پشه‌ای‌ ‌ یا ‌ فوق‌ ‌آن‌ مثل‌ زند، امّا آنان‌ ‌که‌ ایمان‌ آوردند می‌دانند ‌که‌ ‌آن‌ [مثل‌] حق‌ بوده‌ و ‌از‌ جانب‌ پروردگارشان‌ ‌است‌ ولی‌ کافران‌ [‌به‌ قصد تحقیر] گویند: ‌خدا‌ ‌از‌ ‌این‌ مثل‌ چه‌ خواسته‌ ‌است‌! [آری‌] بسیاری‌ ‌را‌ ‌با‌ ‌آن‌ گمراه‌ و بسیاری‌ ‌را‌ هدایت‌ می‌کند، ولی‌ جز فاسقان‌ ‌را‌ بدان‌ گمراه‌ نمی‌کند","26","2","البقرة","1","1","","","5"
"34","الَّذِینَ یَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِیثَاقِهِ وَیَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن یُوصَلَ وَیُفْسِدُونَ فِی الْأَرْضِ أُولَئِکَ هُمُ الْخَاسِرُون","همانان‌ ‌که‌ پیمان‌ ‌خدا‌ ‌را‌ ‌پس‌ ‌از‌ تأکیدش‌ می‌شکنند و آنچه‌ ‌را‌ ‌که‌ ‌خدا‌ ‌به‌ پیوستن‌ ‌آن‌ امر کرده‌ می‌گسلند و ‌در‌ زمین‌ فتنه‌ ‌به‌ پا می‌کنند همین‌ها زیانکارانند","27","2","البقرة","1","1","","","5"
"35","کَیْفَ تَکْفُرُونَ بِاللَّهِ وَکُنتُمْ أَمْوَاتًا فَأَحْیَاکُمْ ثُمَّ یُمِیتُکُمْ ثُمَّ یُحْیِیکُمْ ثُمَّ إِلَیْهِ تُرْجَعُون","چگونه‌ منکر ‌خدا‌ می‌شوید ‌با‌ ‌آن‌ ‌که‌ بی‌جان‌ بودید ‌پس‌ ‌شما‌ ‌را‌ جان‌ بخشید، و دیگر بار ‌شما‌ ‌را‌ می‌میراند و باز جانتان‌ می‌دهد و ‌آن‌ گاه‌ ‌به‌ سوی‌ ‌او‌ بازگردانده‌ می‌شوید","28","2","البقرة","1","1","","","5"
"36","هُوَ الَّذِی خَلَقَ لَکُم مَّا فِی الْأَرْضِ جَمِیعًا ثُمَّ اسْتَوَى إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ وَهُوَ بِکُلِّ شَیْءٍ عَلِیم","اوست‌ کسی‌ ‌که‌ آنچه‌ ‌در‌ زمین‌ ‌است‌، همه‌ ‌را‌ ‌برای‌ ‌شما‌ آفرید، سپس‌ ‌به‌ آسمان‌ پرداخت‌ و ‌آنها‌ ‌را‌ ‌به‌ صورت‌ هفت‌ آسمان‌ تنظیم‌ کرد و ‌او‌ ‌به‌ ‌هر‌ چیزی‌ داناست","29","2","البقرة","1","1","","","5"
"37","وَإِذْ قَالَ رَبُّکَ لِلْمَلَائِکَةِ إِنِّی جَاعِلٌ فِی الْأَرْضِ خَلِیفَةً قَالُوا أَتَجْعَلُ فِیهَا مَن یُفْسِدُ فِیهَا وَیَسْفِکُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِکَ وَنُقَدِّسُ لَکَ قَالَ إِنِّی أَعْلَمُ مَا لَا تَعْلَمُون","و ‌آن‌ گاه‌ ‌که‌ پروردگارت‌ ‌به‌ فرشتگان‌ ‌گفت‌: ‌من‌ ‌در‌ زمین‌ جانشینی‌ خواهم‌ گماشت‌ گفتند: آیا ‌در‌ ‌آن‌ مخلوقی‌ قرار می‌دهی‌ ‌که‌ تباهی‌ کند و خون‌ها بریزد، حال‌ ‌آن‌ ‌که‌ ‌ما تو ‌را‌ ‌به‌ پاکی‌ می‌ستاییم‌ و تقدیست‌ می‌کنیم‌! ‌گفت‌: ‌من‌ ‌آن‌ می‌دانم‌ ‌که‌ ‌شما‌ نمی‌دانید","30","2","البقرة","1","1","","","6"
"38","وَعَلَّمَ آدَمَ الْأَسْمَاءَ کُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِکَةِ فَقَالَ أَنبِئُونِی بِأَسْمَاءِ هَؤُلَاءِ إِن کُنتُمْ صَادِقِین","و همه نام‌ها ‌را‌ ‌به‌ آدم‌ آموخت‌، سپس‌ ‌آنها‌ ‌را‌ ‌بر‌ فرشتگان‌ عرضه‌ داشت‌ و ‌گفت‌: ‌اگر‌ راست‌ می‌گویید مرا ‌از‌ نام‌های‌ اینان‌ خبر دهید","31","2","البقرة","1","1","","","6"
"39","قَالُوا سُبْحَانَکَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا إِنَّکَ أَنتَ الْعَلِیمُ الْحَکِیم","گفتند: پاکی‌ تو راست‌، ‌ما ‌را‌ دانشی‌ جز آنچه‌ ‌به‌ ‌ما آموخته‌ای‌ نیست‌، حقا دانای‌ حکیم‌ تنها تویی","32","2","البقرة","1","1","","","6"
"40","قَالَ یَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّکُمْ إِنِّی أَعْلَمُ غَیْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا کُنتُمْ تَکْتُمُون","گفت‌: ای‌ آدم‌! آنان‌ (فرشتگان‌) ‌را‌ ‌از‌ نام‌های‌ ‌آنها‌ آگاه‌ ساز ‌پس‌ همین‌ ‌که‌ ‌از‌ نام‌ ‌آنها‌ آگاهشان‌ نمود، فرمود: آیا ‌به‌ ‌شما‌ نگفتم‌ ‌که‌ ‌من‌ نهان‌ آسمان‌ها و زمین‌ ‌را‌ می‌دانم‌، و می‌دانم‌ آنچه‌ ‌را‌ آشکار می‌کنید و آنچه‌ ‌را‌ پنهان‌ می‌داشتید","33","2","البقرة","1","1","","","6"
"41","وَإِذْ قُلْنَا لِلْمَلَائِکَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِیسَ أَبَى وَاسْتَکْبَرَ وَکَانَ مِنَ الْکَافِرِین","و ‌آن‌ گاه‌ ‌که‌ ‌به‌ فرشتگان‌ گفتیم‌: ‌برای‌ آدم‌ سجده‌ کنید، ‌پس‌ همه‌ سجده‌ کردند، جز ابلیس‌ ‌که‌ ابا کرد و برتری‌ جست‌ و ‌از‌ کافران‌ گردید","34","2","البقرة","1","1","","","6"
"42","وَقُلْنَا یَا آدَمُ اسْکُنْ أَنتَ وَزَوْجُکَ الْجَنَّةَ وَکُلَا مِنْهَا رَغَدًا حَیْثُ شِئْتُمَا وَلَا تَقْرَبَا هَذِهِ الشَّجَرَةَ فَتَکُونَا مِنَ الظَّالِمِین","و گفتیم‌: ای‌ آدم‌! تو و همسرت‌ ‌در‌ ‌این‌ باغ‌ منزل‌ کنید و ‌به‌ فراوانی‌ ‌از‌ ‌هر‌ جا [و ‌هر‌ چه‌] می‌خواهید بخورید ولی‌ نزدیک‌ ‌این‌ درخت‌ نشوید ‌که‌ ‌از‌ ظالمان‌ خواهید شد","35","2","البقرة","1","1","","","6"
"43","فَأَزَلَّهُمَا الشَّیْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا کَانَا فِیهِ وَقُلْنَا اهْبِطُوا بَعْضُکُمْ لِبَعْضٍ عَدُوٌّ وَلَکُمْ فِی الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَى حِین","پس‌ شیطان‌ ‌آن‌ دو ‌را‌ ‌در‌ باره‌ی‌ ‌آن‌ [درخت‌] منحرف‌ نمود و ‌از‌ آنچه‌ ‌در‌ ‌آن‌ بودند بیرونشان‌ کرد، و گفتیم‌: پایین‌ روید، ‌شما‌ دشمن‌ یکدیگرید و ‌تا‌ مدتی‌ ‌در‌ زمین‌ قرارگاه‌ و معیشتی‌ خواهید داشت","36","2","البقرة","1","1","","","6"
"44","فَتَلَقَّى آدَمُ مِن رَّبِّهِ کَلِمَاتٍ فَتَابَ عَلَیْهِ إِنَّهُ هُوَ التَّوَّابُ الرَّحِیم","پس‌ آدم‌ ‌از‌ پروردگار خویش‌ سخنانی‌ دریافت‌ کرد [و توبه‌ نمود] ‌پس‌ ‌خدا‌ توبه‌اش‌ ‌را‌ پذیرفت‌، حقا ‌که‌ ‌او‌ توبه‌پذیر مهربان‌ ‌است","37","2","البقرة","1","1","","","6"
"45","قُلْنَا اهْبِطُوا مِنْهَا جَمِیعًا فَإِمَّا یَأْتِیَنَّکُم مِّنِّی هُدًى فَمَن تَبِعَ هُدَایَ فَلَا خَوْفٌ عَلَیْهِمْ وَلَا هُمْ یَحْزَنُون","گفتیم‌: همه‌ ‌از‌ ‌آن‌ پایین‌ روید، ‌پس‌ ‌اگر‌ ‌از‌ جانب‌ ‌من‌ هدایتی‌ برایتان‌ آمد، ‌هر‌ کس‌ ‌از‌ هدایت‌ ‌من‌ پیروی‌ کند، نه‌ خوفی‌ ‌بر‌ آنهاست‌ و نه‌ اندوهگین‌ شوند","38","2","البقرة","1","1","","","7"
"46","وَالَّذِینَ کَفَرُوا وَکَذَّبُوا بِآیَاتِنَا أُولَئِکَ أَصْحَابُ النَّارِ هُمْ فِیهَا خَالِدُون","و آنان‌ ‌که‌ کافر شدند و آیات‌ ‌ما ‌را‌ تکذیب‌ کردند، ‌آنها‌ اهل‌ آتشند و ‌در‌ ‌آن‌ ماندگار","39","2","البقرة","1","1","","","7"
"47","یَا بَنِی إِسْرَائِیلَ اذْکُرُوا نِعْمَتِیَ الَّتِی أَنْعَمْتُ عَلَیْکُمْ وَأَوْفُوا بِعَهْدِی أُوفِ بِعَهْدِکُمْ وَإِیَّایَ فَارْهَبُون","ای‌ بنی‌ اسرائیل‌! نعمت‌ مرا ‌که‌ ‌بر‌ ‌شما‌ ارزانی‌ داشتم‌ ‌به‌ یاد آرید و پیمان‌ مرا وفا کنید ‌تا‌ ‌به‌ پیمانتان‌ وفا کنم‌، و تنها ‌از‌ ‌من‌ بیم‌ دارید","40","2","البقرة","1","1","","","7"
"48","وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَکُمْ وَلَا تَکُونُوا أَوَّلَ کَافِرٍ بِهِ وَلَا تَشْتَرُوا بِآیَاتِی ثَمَنًا قَلِیلًا وَإِیَّایَ فَاتَّقُون","و ‌به‌ آنچه‌ نازل‌ کردم‌ [قرآن‌] بگروید ‌که‌ آنچه‌ ‌را‌ ‌با‌ شماست‌ تصدیق‌ می‌کند، و نخستین‌ منکر ‌آن‌ نباشید و آیات‌ مرا ‌به‌ بهای‌ ناچیز مفروشید و تنها ‌از‌ ‌من‌ بترسید","41","2","البقرة","1","1","","","7"
"49","وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَکْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُون","و حق‌ ‌را‌ ‌به‌ باطل‌ نیامیزید و حقیقت‌ ‌را‌ پنهان‌ نکنید ‌در‌ حالی‌ ‌که‌ می‌دانید","42","2","البقرة","1","1","","","7"
"50","وَأَقِیمُوا الصَّلَاةَ وَآتُوا الزَّکَاةَ وَارْکَعُوا مَعَ الرَّاکِعِین","و نماز ‌به‌ پا دارید و زکات‌ بدهید و ‌با‌ راکعان‌ رکوع‌ کنید","43","2","البقرة","1","1","","","7"
"51","أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَکُمْ وَأَنتُمْ تَتْلُونَ الْکِتَابَ أَفَلَا تَعْقِلُون","آیا مردم‌ ‌را‌ ‌به‌ خیر و نیکی‌ فرمان‌ می‌دهید و ‌خود‌ ‌را‌ فراموش‌ می‌کنید ‌با‌ ‌این‌ ‌که‌ ‌شما‌ کتاب‌ آسمانی‌ ‌را‌ تلاوت‌ می‌کنید! ‌پس‌ چرا نمی‌اندیشید","44","2","البقرة","2","1","","","7"
"52","وَاسْتَعِینُوا بِالصَّبْرِ وَالصَّلَاةِ وَإِنَّهَا لَکَبِیرَةٌ إِلَّا عَلَى الْخَاشِعِین","و ‌از‌ صبر و نماز یاری‌ بگیرید و البتّه‌ ‌آن‌ جز ‌بر‌ خاشعان‌ بسی‌ گران‌ ‌است","45","2","البقرة","2","1","","","7"
